index,x,y,angle_deg
0,0.090000,48.240000,46.581945
1,0.870000,48.330000,46.219230
2,1.650000,48.410000,46.219230
3,2.430000,48.500000,46.581945
4,3.210000,48.590000,46.581945
5,3.990000,48.680000,46.581945
6,4.770000,48.770000,46.581945
7,5.550000,48.860000,46.581945
8,6.330000,48.950000,46.944131
9,7.110000,49.050000,47.352379
10,7.880000,49.150000,46.988490
11,8.660000,49.240000,46.944131
12,9.440000,49.340000,47.305760
13,10.220000,49.440000,47.666804
14,11.000000,49.550000,48.078345
15,11.770000,49.660000,48.440365
16,12.550000,49.780000,48.801708
17,13.320000,49.900000,49.522255
18,14.100000,50.040000,50.239775
19,14.870000,50.180000,50.664576
20,15.640000,50.330000,52.171458
21,16.400000,50.510000,53.240520
22,17.170000,50.690000,55.095521
23,17.920000,50.920000,57.507163
24,18.660000,51.160000,59.358994
25,19.400000,51.440000,62.340648
26,20.120000,51.760000,64.443955
27,20.830000,52.090000,66.565051
28,21.520000,52.460000,68.201628
29,22.210000,52.830000,69.835539
30,22.880000,53.240000,71.464144
31,23.550000,53.650000,72.275644
32,24.210000,54.080000,73.284440
33,24.860000,54.510000,73.791656
34,25.510000,54.950000,74.902496
35,26.150000,55.410000,75.919927
36,26.780000,55.870000,76.430858
37,27.410000,56.340000,77.234834
38,28.030000,56.820000,77.234834
39,28.660000,57.290000,78.546013
40,29.260000,57.800000,80.086201
41,29.860000,58.300000,80.086201
42,30.460000,58.810000,81.633539
43,31.030000,59.340000,82.667976
44,31.610000,59.870000,84.229251
45,32.160000,60.440000,86.032245
46,32.700000,61.000000,87.332024
47,33.220000,61.590000,89.398705
48,33.720000,62.190000,90.941520
49,34.210000,62.810000,92.765166
50,34.670000,63.440000,94.589552
51,35.120000,64.090000,96.108542
52,35.550000,64.750000,98.535856
53,35.940000,65.430000,100.980917
54,36.310000,66.120000,102.616493
55,36.660000,66.820000,105.071526
56,36.970000,67.540000,107.858762
57,37.250000,68.270000,110.641006
58,37.490000,69.020000,113.300756
59,37.700000,69.770000,116.319075
60,37.860000,70.540000,119.045937
61,38.000000,71.320000,120.837653
62,38.110000,72.090000,123.011510
63,38.190000,72.870000,124.871809
64,38.250000,73.650000,126.355510
65,38.290000,74.440000,128.540551
66,38.290000,75.220000,130.364936
67,38.280000,76.010000,131.824090
68,38.240000,76.790000,133.301866
69,38.190000,77.570000,135.856014
70,38.080000,78.350000,138.027238
71,37.970000,79.130000,141.023456
72,37.780000,79.890000,148.978880
73,37.320000,81.020000,156.244369
74,36.720000,82.040000,163.155233
75,36.020000,83.010000,171.520082
76,35.330000,83.610000,182.943472
77,34.550000,84.120000,193.186379
78,33.490000,84.540000,204.054604
79,32.100000,84.820000,212.945748
80,30.500000,84.910000,-137.575243
81,29.030000,84.690000,-125.516918
82,27.790000,84.210000,-112.650124
83,26.710000,83.490000,-98.697049
84,26.060000,82.690000,-86.050542
85,25.640000,82.020000,-77.707551
86,25.330000,81.300000,-70.642010
87,25.090000,80.560000,-64.481769
88,24.940000,79.790000,-58.801708
89,24.850000,79.010000,-54.007805
90,24.830000,78.220000,-49.270157
91,24.870000,77.440000,-45.236358
92,24.960000,76.660000,-41.559635
93,25.100000,75.890000,-37.471192
94,25.300000,75.130000,-31.681270
95,25.590000,74.410000,-23.763288
96,25.990000,73.730000,-15.905022
97,26.470000,73.110000,-9.398705
98,27.010000,72.540000,-5.000000
99,27.580000,72.000000,-2.420852
100,28.170000,71.480000,-1.117101
101,28.760000,70.970000,0.194429
102,29.370000,70.480000,0.941520
103,29.980000,69.980000,0.941520
104,30.590000,69.490000,1.740056
105,31.210000,69.010000,2.253195
106,31.830000,68.530000,2.253195
107,32.450000,68.050000,1.965418
108,33.070000,67.560000,1.453987
109,33.680000,67.070000,1.225829
110,34.290000,66.580000,1.740056
111,34.910000,66.100000,2.253195
112,35.530000,65.620000,2.475737
113,36.160000,65.140000,3.275893
114,36.790000,64.680000,4.887989
115,37.440000,64.240000,6.410983
116,38.100000,63.810000,8.535856
117,38.780000,63.420000,11.301708
118,39.470000,63.060000,13.434949
119,40.180000,62.720000,15.556045
120,40.900000,62.410000,17.858762
121,41.630000,62.130000,19.486681
122,42.370000,61.860000,21.449768
123,43.120000,61.630000,23.754367
124,43.880000,61.420000,25.256437
125,44.640000,61.230000,26.759480
126,45.410000,61.060000,28.976544
127,46.180000,60.930000,30.417055
128,46.950000,60.800000,30.837653
129,47.730000,60.680000,30.477745
130,48.500000,60.540000,30.118594
131,49.280000,60.410000,30.477745
132,50.050000,60.280000,30.417055
133,50.820000,60.150000,31.198292
134,51.600000,60.040000,32.694240
135,52.380000,59.950000,34.143986
136,53.160000,59.880000,36.332212
137,53.940000,59.850000,38.905309
138,54.730000,59.850000,41.824090
139,55.510000,59.900000,44.763642
140,56.290000,59.980000,46.944131
141,57.070000,60.090000,48.440365
142,57.840000,60.210000,49.522255
143,58.620000,60.350000,51.381463
144,59.380000,60.520000,52.528808
145,60.150000,60.690000,52.449997
146,60.920000,60.860000,53.240520
147,61.680000,61.050000,54.390463
148,62.440000,61.250000,55.543679
149,63.190000,61.470000,57.049031
150,63.940000,61.710000,57.744672
151,64.690000,61.950000,56.699244
152,65.440000,62.160000,54.481769
153,66.200000,62.340000,51.381463
154,66.980000,62.470000,47.305760
155,67.760000,62.540000,43.667788
156,68.540000,62.570000,40.000000
157,69.330000,62.540000,37.082993
158,70.110000,62.490000,34.871809
159,70.890000,62.400000,31.921655
160,71.660000,62.270000,28.186855
161,72.420000,62.080000,22.950969
162,73.160000,61.810000,12.487997
163,73.860000,61.330000,3.130102
164,74.440000,60.850000,-2.534241
165,74.950000,60.330000,-8.209486
166,75.450000,59.720000,-9.398705
167,75.970000,59.140000,-7.332024
168,76.510000,58.570000,-6.284444
169,77.060000,58.000000,-5.770749
170,77.610000,57.440000,-5.516164
171,78.160000,56.880000,-5.777723
172,78.700000,56.320000,-6.296063
173,79.240000,55.750000,-7.063820
174,79.770000,55.170000,-7.579148
175,80.300000,54.590000,-8.094058
176,80.820000,54.000000,-8.882899
177,81.330000,53.410000,-9.122298
178,81.850000,52.810000,-8.094058
179,82.380000,52.240000,-6.296063
180,82.930000,51.680000,2.480886
181,83.500000,51.380000,13.824710
182,84.110000,51.100000,16.342003
183,84.550000,50.920000,22.474432
184,85.060000,50.800000,30.321740
185,85.840000,50.700000,34.871809
186,86.620000,50.660000,44.000186
187,87.270000,50.800000,57.864860
188,87.830000,51.050000,70.154548
189,88.320000,51.410000,79.805571
190,88.730000,51.800000,88.447387
191,89.100000,52.290000,97.560237
192,89.480000,52.980000,102.292449
193,89.830000,53.680000,102.942447
194,90.190000,54.370000,101.476881
195,90.580000,55.060000,98.225802
196,91.020000,55.710000,94.080073
197,91.500000,56.330000,89.677418
198,92.030000,56.900000,85.000000
199,92.610000,57.440000,81.391531
200,93.210000,57.940000,78.487577
201,93.830000,58.410000,75.919927
202,94.480000,58.860000,73.589017
203,95.140000,59.280000,71.966644
204,95.810000,59.690000,69.337894
205,96.510000,60.050000,66.565051
206,97.210000,60.390000,64.111020
207,97.940000,60.690000,60.854458
208,98.680000,60.950000,57.397513
209,99.440000,61.160000,53.680925
210,100.200000,61.320000,47.125016
211,100.720000,61.320000,34.507675
212,101.240000,61.220000,30.837653
213,101.650000,61.170000,39.309723
214,102.070000,61.210000,40.498212
215,102.800000,61.180000,38.869309
216,103.590000,61.180000,40.729843
217,104.370000,61.200000,41.094691
218,105.160000,61.210000,41.094691
219,105.940000,61.230000,41.094691
220,106.730000,61.240000,41.094691
221,107.510000,61.260000,41.824090
222,108.300000,61.290000,41.824090
223,109.080000,61.310000,41.459449
224,109.870000,61.330000,41.459449
225,110.650000,61.350000,41.468801
226,111.430000,61.370000,41.094691
227,112.220000,61.380000,40.364936
228,113.000000,61.380000,40.364936
229,113.790000,61.390000,40.364936
230,114.570000,61.390000,40.364936
231,115.360000,61.400000,38.540551
232,116.140000,61.350000,35.601295
233,116.920000,61.280000,34.871809
